0.05;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
1;161.4476388;199.5;215.7073454;224.5832406;230.1618781;233.9860004;236.7684003;238.8826948;240.5432547;241.8817473;242.9834582;243.9060385;244.6898473;245.3639772;245.9499262;246.4639223;246.9184441;247.3232441;247.6860539;248.0130821;248.309371;248.5790586;248.8255722;249.0517748;249.2600766;249.452521;249.6308519;249.7965667;249.9509581;250.0951482;250.2301154;250.3567172;250.4757076;250.5877531;250.6934442;250.7933066;250.8878094;250.9773728;251.0623741;251.1431531;251.2200169;251.2932433;251.3630845;251.4297699;251.4935087;251.5544919;251.6128944;251.6688767;251.7225861;251.7741583;251.8237183;251.8713817;251.9172552;251.9614379;252.0040214;252.0450912;252.0847264;252.123001;252.1599838;252.1957391;252.2303271;252.263804;252.2962224;252.3276319;252.3580787;252.3876065;252.4162562
2;18.51282051;19;19.16429213;19.24679434;19.29640965;19.32953402;19.35321754;19.3709929;19.38482572;19.39589672;19.40495796;19.41251115;19.41890384;19.42438441;19.42913507;19.43329253;19.43696138;19.44022296;19.44314153;19.44576849;19.44814547;19.45030653;19.45227981;19.45408876;19.4557531;19.4572895;19.45871216;19.46003327;19.46126332;19.46241141;19.46348547;19.46449244;19.46543842;19.46632877;19.46716828;19.46796116;19.46871121;19.4694218;19.47009596;19.47073643;19.47134567;19.47192592;19.47247918;19.4730073;19.47351197;19.4739947;19.47445689;19.47489983;19.4753247;19.47573259;19.47612448;19.4765013;19.47686391;19.47721309;19.47754958;19.47787406;19.47818715;19.47848945;19.47878151;19.47906383;19.4793369;19.47960116;19.47985704;19.48010492;19.48034518;19.48057816;19.48080418
3;10.12796449;9.552094496;9.276628153;9.117182253;9.013455168;8.940645121;8.886742956;8.84523846;8.812299555;8.785524711;8.76333283;8.744640661;8.728681247;8.714896379;8.702870135;8.692286268;8.682900047;8.674519129;8.666990254;8.660189802;8.65401696;8.648388693;8.643235994;8.63850104;8.634135016;8.630096425;8.626349771;8.622864505;8.619614199;8.61657587;8.613729439;8.611057283;8.608543874;8.606175475;8.60393989;8.601826251;8.599824847;8.597926971;8.596124792;8.59441125;8.592779964;8.59122515;8.589741554;8.588324393;8.586969303;8.585672292;8.584429706;8.583238189;8.582094656;8.580996267;8.5799404;8.578924632;8.577946722;8.577004593;8.576096315;8.575220097;8.574374271;8.573557282;8.572767681;8.572004113;8.571265311;8.57055009;8.569857339;8.569186015;8.568535139;8.567903791;8.567291105
4;7.708647422;6.94427191;6.591382116;6.388232909;6.256056502;6.163132283;6.094210926;6.041044476;5.998779031;5.964370552;5.935812699;5.911729109;5.891144004;5.873346264;5.857805361;5.844117427;5.831969572;5.821115623;5.811359237;5.802541893;5.794534206;5.78722952;5.78053913;5.774388657;5.768715263;5.763465502;5.758593624;5.754060238;5.749831246;5.745876983;5.742171514;5.738692073;5.735418589;5.732333297;5.729420422;5.726665901;5.724057162;5.721582928;5.719233059;5.716998405;5.714870697;5.712842435;5.710906805;5.709057604;5.707289169;5.70559632;5.703974314;5.702418793;5.700925752;5.699491501;5.698112634;5.696786003;5.695508695;5.69427801;5.693091441;5.691946656;5.690841488;5.689773914;5.688742049;5.687744129;5.686778508;5.685843641;5.684938083;5.684060477;5.683209547;5.682384097;5.681582997
5;6.607890974;5.786135043;5.409451318;5.192167773;5.050329058;4.950288069;4.875871696;4.818319536;4.772465613;4.73506307;4.703967233;4.677703792;4.655225486;4.635767721;4.618759116;4.603764029;4.590444468;4.578534157;4.567820458;4.558131497;4.549326842;4.541290617;4.533926357;4.527153108;4.520902422;4.515116037;4.509744044;4.504743444;4.500076992;4.495712262;4.491620895;4.48777798;4.484161543;4.48075213;4.477532452;4.474487095;4.47160227;4.468865607;4.466265972;4.463793324;4.461438578;4.459193493;4.457050584;4.455003028;4.453044598;4.451169597;4.449372804;4.447649426;4.445995052;4.444405618;4.442877374;4.441406852;4.439990842;4.438626367;4.437310665;4.436041165;4.434815475;4.433631366;4.432486757;4.431379704;4.430308388;4.429271105;4.42826626;4.427292353;4.426347978;4.425431811;4.424542607
6;5.987377607;5.14325285;4.757062663;4.53367695;4.387374187;4.283865714;4.206658488;4.146804162;4.099015542;4.059962794;4.027442042;3.999935383;3.976362661;3.955933943;3.938057988;3.922283363;3.908259348;3.895709298;3.884412032;3.874188581;3.864892563;3.856403079;3.848619396;3.841456902;3.834844005;3.828719718;3.823031765;3.817735075;3.812790584;3.808164265;3.803826341;3.79975064;3.795914067;3.792296162;3.788878737;3.785645567;3.782582134;3.779675405;3.776913652;3.774286285;3.771783725;3.76939728;3.76711905;3.764941833;3.762859055;3.760864699;3.758953249;3.75711964;3.755359208;3.753667659;3.752041025;3.750475639;3.748968104;3.747515272;3.746114215;3.744762216;3.743456739;3.742195426;3.74097607;3.739796613;3.738655126;3.737549806;3.736478959;3.735440998;3.73443443;3.733457852;3.732509942
7;5.591447851;4.737414128;4.3468314;4.120311727;3.971523151;3.865968853;3.78704354;3.725725317;3.676674699;3.636523121;3.603037269;3.574676447;3.550342566;3.5292314;3.510740185;3.494408087;3.479876659;3.466862833;3.455140057;3.444524832;3.434866933;3.426042176;3.417947007;3.410494376;3.403610575;3.397232771;3.391307069;3.385786974;3.380632166;3.375807502;3.371282212;3.367029239;3.363024695;3.359247408;3.355678548;3.352301311;3.349100655;3.346063072;3.343176398;3.340429652;3.337812893;3.3353171;3.33293407;3.330656325;3.328477032;3.326389942;3.324389319;3.322469897;3.320626828;3.318855642;3.317152212;3.315512722;3.313933636;3.312411675;3.310943792;3.309527155;3.308159125;3.306837242;3.305559208;3.304322876;3.303126238;3.301967411;3.30084463;3.29975624;3.298700682;3.297676493;3.296682295
8;5.317655072;4.458970108;4.066180551;3.837853355;3.687498666;3.58058032;3.500463855;3.438101233;3.388130235;3.34716312;3.312950657;3.283939006;3.259019235;3.237378146;3.218405513;3.201634273;3.186700739;3.17331742;3.161254001;3.150323774;3.140373749;3.131277364;3.122928996;3.115239796;3.108134481;3.101548833;3.095427736;3.089723617;3.084395195;3.079406472;3.074725913;3.070325777;3.066181558;3.062271529;3.058576358;3.055078788;3.05176336;3.048616192;3.045624777;3.042777821;3.040065095;3.037477316;3.035006037;3.032643557;3.03038284;3.028217445;3.026141461;3.024149459;3.02223644;3.020397795;3.018629266;3.016926914;3.015287091;3.013706412;3.012181732;3.010710125;3.009288865;3.007915412;3.006587391;3.005302584;3.004058914;3.002854436;3.001687324;3.000555867;2.999458454;2.99839357;2.99735979
9;5.117355029;4.256494729;3.862548358;3.633088511;3.481658654;3.373753647;3.292745839;3.229582613;3.178893104;3.137280108;3.102485408;3.072947122;3.047549307;3.025472724;3.006101972;2.988965557;2.973695996;2.960002534;2.947652047;2.936455392;2.926257473;2.916929887;2.908365403;2.90047376;2.893178432;2.886414101;2.880124677;2.874261719;2.868783172;2.863652344;2.85883708;2.854309077;2.850043325;2.846017641;2.842212279;2.838609602;2.835193812;2.831950713;2.828867513;2.825932654;2.823135667;2.820467048;2.817918148;2.815481076;2.813148624;2.810914188;2.808771712;2.806715626;2.804740804;2.802842517;2.801016396;2.799258399;2.79756478;2.795932064;2.79435702;2.792836645;2.791368138;2.789948887;2.788576454;2.787248557;2.785963063;2.78471797;2.783511402;2.782341598;2.781206901;2.780105754;2.779036689
10;4.964602744;4.102821015;3.708264819;3.478049691;3.32583453;3.217174547;3.135464805;3.071658385;3.020382947;2.978237016;2.942957268;2.912976722;2.887174693;2.864727683;2.845016527;2.827566431;2.812007031;2.798045061;2.785445203;2.774016398;2.763601869;2.754071735;2.745317466;2.737247653;2.729784749;2.722862534;2.71642411;2.710420314;2.704808446;2.699551233;2.694615997;2.689973964;2.685599696;2.681470621;2.677566641;2.673869799;2.670364003;2.667034788;2.663869118;2.660855207;2.657982382;2.655240945;2.652622071;2.650117708;2.647720495;2.64542369;2.643221106;2.641107054;2.639076295;2.637123995;2.635245689;2.633437242;2.631694826;2.630014883;2.628394111;2.626829434;2.625317987;2.623857096;2.622444264;2.621077156;2.619753585;2.618471504;2.617228989;2.616024236;2.614855546;2.613721325;2.612620068
