st;0.05;0.01;0.001;0.1
1;12.70620474;63.65674116;636.6192488;6.313751515
2;4.30265273;9.924843201;31.59905458;2.91998558
3;3.182446305;5.84090931;12.92397864;2.353363435
4;2.776445105;4.604094871;8.610301581;2.131846786
5;2.570581836;4.032142984;6.868826626;2.015048373
6;2.446911851;3.707428021;5.958816179;1.943180281
7;2.364624252;3.499483297;5.407882521;1.894578605
8;2.306004135;3.355387331;5.041305433;1.859548038
9;2.262157163;3.249835542;4.780912586;1.833112933
10;2.228138852;3.169272673;4.586893859;1.812461123
11;2.20098516;3.105806516;4.436979338;1.795884819
12;2.17881283;3.054539589;4.317791284;1.782287556
13;2.160368656;3.012275839;4.220831728;1.770933396
14;2.144786688;2.976842734;4.140454113;1.761310136
15;2.131449546;2.946712883;4.072765196;1.753050356
16;2.119905299;2.920781622;4.014996327;1.745883676
17;2.109815578;2.89823052;3.965126272;1.739606726
18;2.10092204;2.878440473;3.921645825;1.734063607
19;2.093024054;2.860934606;3.883405853;1.729132812
20;2.085963447;2.84533971;3.849516275;1.724718243
21;2.079613845;2.831359558;3.819277164;1.720742903
22;2.073873068;2.818756061;3.792130672;1.717144374
23;2.06865761;2.807335684;3.767626804;1.713871528
24;2.063898562;2.796939505;3.745398619;1.71088208
25;2.059538553;2.787435814;3.72514395;1.708140761
26;2.055529439;2.778714533;3.706611743;1.70561792
27;2.051830516;2.770682957;3.689591713;1.703288446
28;2.048407142;2.763262455;3.673906401;1.701130934
29;2.045229642;2.756385904;3.659405019;1.699127027
30;2.042272456;2.749995654;3.645958635;1.697260887
31;2.039513446;2.744041919;3.63345635;1.695518783
32;2.036933343;2.738481482;3.62180226;1.693888748
33;2.034515297;2.733276642;3.610913008;1.692360309
34;2.032244509;2.728394367;3.600715797;1.690924255
35;2.030107928;2.723805589;3.591146776;1.689572458
36;2.028094001;2.71948463;3.582149701;1.688297714
37;2.026192463;2.715408722;3.573674844;1.68709362
38;2.024394164;2.711557602;3.565678072;1.68595446
39;2.02269092;2.707913184;3.558120081;1.684875122
40;2.02107539;2.704459267;3.550965761;1.683851013
41;2.01954097;2.701181304;3.544183643;1.682878002
42;2.018081703;2.698066186;3.537745445;1.681952357
43;2.016692199;2.695102079;3.531625678;1.681070703
44;2.015367574;2.692278266;3.525801306;1.680229977
45;2.014103389;2.689585019;3.520251465;1.679427393
46;2.012895599;2.687013492;3.514957205;1.678660414
47;2.011740514;2.684555618;3.509901283;1.677926722
48;2.010634758;2.682204027;3.50506797;1.677224196
49;2.009575237;2.679951974;3.500442891;1.676550893
50;2.008559112;2.677793271;3.496012882;1.675905025
51;2.00758377;2.675722234;3.491765864;1.67528495
52;2.006646805;2.673733631;3.487690735;1.674689154
53;2.005745995;2.671822636;3.483777273;1.674116237
54;2.004879288;2.669984796;3.480016051;1.673564906
55;2.004044783;2.668215988;3.476398359;1.673033965
56;2.003240719;2.666512398;3.47291614;1.672522303
57;2.002465459;2.664870482;3.469561928;1.672028888
58;2.001717484;2.663286954;3.466328795;1.671552762
59;2.000995378;2.661758752;3.463210305;1.671093032
